iter	F1	Logloss
133	0.6277056277	0.379901962
134	0.6281081081	0.3797838461
135	0.6288492707	0.3794449841
136	0.6288492707	0.3793568182
137	0.6288492707	0.379334746
138	0.6288492707	0.3793346829
139	0.6303291959	0.3793337464
140	0.6274298056	0.3788831223
141	0.6313513514	0.3785769227
142	0.63174946	0.3784685929
143	0.63174946	0.3784685193
144	0.63174946	0.3784170545
145	0.63174946	0.3783617434
146	0.6310679612	0.3778759426
147	0.6321467098	0.3773942912
148	0.6314085267	0.3772322178
149	0.6314085267	0.3770900775
150	0.6306695464	0.3769438004
151	0.6303291959	0.3765532886
152	0.6310679612	0.3764985547
153	0.6313513514	0.3760018343
154	0.6316928069	0.3756981657
155	0.6312939903	0.375568789
156	0.6335671883	0.3750569379
157	0.6349378042	0.374682616
158	0.6345425014	0.3745517084
159	0.6345425014	0.3743243837
160	0.6349378042	0.3740116328
161	0.6349378042	0.3739905894
162	0.6356756757	0.3738604874
163	0.6356756757	0.3735824356
164	0.6363636364	0.3732367913
165	0.6363636364	0.3732174784
166	0.6356253384	0.3729030446
167	0.6363636364	0.3727210139
168	0.6348862405	0.3726843799
169	0.6356253384	0.3724710933
170	0.6356253384	0.3724708117
171	0.6367081754	0.3719838102
172	0.6367081754	0.3719509892
173	0.6359696641	0.3717418762
174	0.637398374	0.3716005982
175	0.6370530878	0.3713350917
176	0.6370048833	0.3705379551
177	0.6377440347	0.3704284294
178	0.6370530878	0.3699531216
179	0.6377440347	0.3697945033
180	0.6384823848	0.3691562836
181	0.6384823848	0.3689373139
182	0.6381365114	0.3689272959
183	0.6388738495	0.3689146076
184	0.6403033586	0.3686042202
185	0.6417748918	0.3681005425
186	0.6421223606	0.3677366066
187	0.6417748918	0.3674634334
188	0.6425094646	0.367022934
189	0.6421621622	0.3669653249
190	0.6417748918	0.3662020697
191	0.6425094646	0.3661174863
192	0.6432432432	0.3660275604
193	0.6447084233	0.365403428
194	0.6461704423	0.3649046181
195	0.648357566	0.364446901
196	0.6479784367	0.363813324
197	0.6472491909	0.3635150237
198	0.6461704423	0.3631647911
199	0.6476293103	0.3627739503
200	0.6487068966	0.3623098636
201	0.6497844828	0.3620244124
202	0.6497844828	0.3617547197
203	0.6490566038	0.3614446954
204	0.6501347709	0.3611247064
205	0.6522911051	0.360826394
206	0.6522911051	0.3607407891
207	0.6530172414	0.3606522793
208	0.6533907427	0.3603073875
209	0.6544474394	0.3599905811
210	0.6544474394	0.3597575321
211	0.6544474394	0.3595642065
212	0.6540948276	0.3590982064
213	0.6548196015	0.3588463802
214	0.6537216828	0.3586833747
215	0.6537216828	0.3585158022
216	0.6537216828	0.3583510084
